S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24	A_ss25	B_ss25	C_ss25	D_ss25	A_ss26	B_ss26	C_ss26	D_ss26	A_ss27	B_ss27	C_ss27	D_ss27
9754	2	-8.313599233743401	-0.24132147877018548	-5.80345143056052	2.023658100868583	-5.0124844749678035	-6.646146194511884	0.3801546271946643	5.153415847535861																																																																																																				
6232	3	-6.063036148924673	5.732518229670237	0.2751647002639542	-4.654192030658448	-6.089543286599282	0.5156262344821533	-6.08619036828805	2.6602559810760003	0.20165874298704692	-6.247020719427396	3.741527688254779	-3.4577901091737813																																																																																																
2877	2	2.737928323448773	-2.230820982571565	-5.128885053171557	1.1570357003599363	-2.424572539517879	3.9150983168349387	1.8633724765415123	-4.625959793065032																																																																																																				
5324	2	2.5654464104202663	-5.364336504629623	-7.494630444525309	3.3872051437195214	-3.580323210647656	0.6813454890713719	-7.878053174149523	0.47174860272181957																																																																																																				
800	3	2.5930207525907925	1.455244637711028	-3.9160133869437144	-2.957850582295441	6.334855147294557	-2.7372106750140777	-3.6283392711787483	0.8684510727738244	2.7805633027546257	-4.694366305195201	1.7333617854698946	-5.595032970753775																																																																																																
3571	3	0.14869924918281885	-7.3605645251760015	4.968237994146531	-3.9404763485802614	1.9354937558056162	-5.894024103576127	-5.4009433645369995	0.6888737014594603	-5.031347386053139	0.6261615561555758	-5.878586837200173	1.3839662313718133																																																																																																
2895	2	-3.1111967122982422	-6.267936381348225	0.7544451360085518	2.255297836200569	2.067594972681078	-9.007172243800204	1.5974225651430576	-1.3409887022965878																																																																																																				
2928	1	-8.575533818612072	-9.218362386891888	2.618105835579499	3.3713610520183983																																																																																																								
8179	2	-5.043578565100529	1.448004621918225	-3.703406852394468	1.8676573879784601	0.7492915524684401	-2.3455823816907504	-8.94726190771269	1.5304704797737039																																																																																																				
972	5	-6.209419258399739	4.008840485482246	-5.086207145531208	0.3322512383767785	-1.5674099533462615	7.583813780426377	-2.9667041368016283	-1.53072582631416	-4.8069869634400035	2.3063570199301004	1.3484684747776616	-5.092001061389068	-0.03667875786769772	-2.4716793158366657	-5.43413641153419	4.362608062631597	-0.25919672328523635	-7.718495107568592	-0.04526875361130699	3.8264316704152637																																																																																								
6688	2	3.3040286792763642	1.2230416508258997	-3.874516651476989	-1.4518325774337761	7.834951450544842	-3.5058264926324343	-0.02515754176797077	-3.342562288149507																																																																																																				
8576	2	7.7418224988159485	-2.6072344108844865	-9.75572281550356	2.799985416135615	-3.814029086103828	-0.07976446725422884	2.6934128919420153	-2.0795562431353534																																																																																																				
2021	4	-4.564235171948512	0.8138621538536519	-4.387913989594159	0.7041425518347671	-7.549058086051991	0.4541881723611186	0.9877058568364727	-5.59285111874793	-4.79992919212778	-4.846411517898642	1.4373064343095034	0.8727349816732494	1.612111926645928	-2.0056082307885683	-8.42436690275412	1.7361029726139534																																																																																												
9055	2	-3.0192694524480728	-6.895984303543391	0.08012028448144136	2.541565801301702	-2.336810728572238	5.19126318519024	-5.026165516980514	0.23088379207327425																																																																																																				
953	19	-2.376863520339894	-3.8546546427710346	-1.4370271537197734	4.9388209412155515	-6.333305094132025	0.1527084826039313	3.40406398486147	-3.3380974907586527	-7.502185689834091	-3.550775358085612	1.5964554274520095	0.10324611134435639	-4.729813473062119	-3.0927221608536124	-0.9905096386295574	5.1256381738940195	-4.360374727840204	-3.269398608996771	-0.9628675638851596	4.990565391394307	-1.8242945507484407	-4.035022048025893	-1.8236948364735468	5.4233772861885035	-0.7357830390842275	0.13487740662336312	-0.5908448696216407	-3.910729098961367	-5.033118199899342	-2.7726098042341603	-1.0484819046984222	5.322512195698418	-3.6503084130675214	1.3882630877009938	-4.4496561151259115	3.383673288060569	-5.0945130797999045	-2.27615306233082	-1.1641535376574363	5.4896696131210865	-4.544377672165904	-3.191472943277413	-0.974678055428618	5.052464704985973	-4.323231199018909	0.9368752233437666	-2.9730599412043697	2.3406493129066144	-5.002374594013431	-1.461968583153928	-1.4676036817023057	5.2104568905501605	-5.036248446112307	-1.6971218620518296	-1.3596815958775272	5.382954818020704	-1.382280697402994	-4.209223181122258	-2.3247548883147675	5.5984879765042095	-3.7945738895064354	1.4279073215595004	-4.110298564670274	3.1791010356180376	-3.1242477804190143	-3.6454160905095065	-1.0790161344551914	4.671305082017465	-4.983933415418697	-2.8618436666378577	-1.0312203235935726	5.2739452718845286	-2.445306571156373	-3.834375236848618	-1.3985895116793805	4.8853761162019005																																
5360	1	0.525925815791824	-2.800075182347425	-7.285470292800651	4.850048431682909																																																																																																								
3858	1	1.1271324216354262	2.222888031948758	-5.628666297745666	-5.545873845661266																																																																																																								
5862	2	1.7245534120503327	0.586369148239151	-1.1840252507002376	-8.897470320569893	-10.50951863328917	-1.4448894803551973	3.9837622034550266	-0.06614340257086115																																																																																																				
3146	3	-4.492209857815666	1.6292516894075988	4.325835105061898	-5.697809670529955	2.346235816749434	0.870208277951224	-1.3823339639300145	-2.7131841100645877	0.3318038366828254	-4.123161726663063	-5.023430320307098	3.4850042096724323																																																																																																
3306	2	1.7858638797062754	3.760792018728791	-5.022997620899879	-3.085553524341736	-4.228958116131773	5.392698799012	0.5650190511561153	-4.057065150714439																																																																																																				
3007	2	5.833064480195696	-0.216225276729436	-3.4282987960049858	-7.160275115868497	0.1863224837983115	-6.417232193625703	1.5315651239916268	-6.612141590883026																																																																																																				
9002	3	0.8220096950969951	-4.269718887009956	-1.5235200232626704	1.1275807984952755	6.448995195003679	-0.30991555183362246	-4.6327267647595525	-2.548035036476433	1.5846692020174291	-6.498908342619878	1.3947583808260526	-2.3518178848609863																																																																																																
7771	2	-3.3274004207757537	6.400323499459245	-1.4964197243601596	-3.1560025603064124	2.928613478889185	0.15362508250531118	-6.228657098850208	-4.15800051784998																																																																																																				
7439	2	1.9879392496705959	-5.634132542514602	4.854735075834322	-5.925684245530528	2.824575334986895	-4.912155174183061	-0.3460229106469558	-0.06688381598826595																																																																																																				
7943	2	7.296166727388288	-0.053036168293831835	-4.91159621152614	-4.987310791705752	3.6203997531987975	-4.564870967080021	0.317878743989283	-5.796708228701985																																																																																																				
9239	2	-2.769123578678606	-4.321636049638457	0.7368407006593626	4.396544595510757	2.2075842987258154	-4.852927978394606	-5.641047690654943	2.9191204092859295																																																																																																				
1057	1	-8.345280275405079	2.7153590887425616	2.9870920471487032	-5.928392189645283																																																																																																								
3155	2	1.582995546996704	-7.753266338525402	5.0716268340592565	-8.052101846075656	7.603396008022317	-2.4401599058484553	-0.9768636883835048	-8.050866084807554																																																																																																				
3788	2	3.128823510276646	-5.479003860514395	-2.388413604222257	1.3603474251650676	4.563283035269445	-4.719805034490566	3.48733731497608	-4.520017163879201																																																																																																				
9190	4	2.20213684990201	-0.7882467730350283	-2.3871175006951684	-4.878202016760496	2.9174996792183636	-6.745531043832269	-3.383206752982066	0.6957639371205047	1.0725672114223943	-7.198504437757867	1.0039916959253754	-4.18719203550269	-0.08187056383376055	4.583152208820969	-0.4888137101568199	-6.689095921288161																																																																																												
7826	3	1.8493084268552786	-3.58605075329927	1.714775838557493	-4.1877258552149925	-4.7550599863621805	-4.184215531298406	2.2607959338207286	1.183268899534687	1.7624324388579429	-3.3319340394372197	-2.9082890575430373	-0.8682022555668921																																																																																																
7540	3	-3.1902520821870906	0.23625958395304955	-8.49894329788351	1.081635376154702	1.241479627541508	0.32791300599297063	-1.8570837844710701	-4.240154868897221	1.8089021685665512	-4.901565354132023	-3.3255722178728044	1.8201548810909316																																																																																																
7232	1	0.9747644335604149	2.9871682340544594	-11.806012975606341	-7.243691473160079																																																																																																								
