S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24	A_ss25	B_ss25	C_ss25	D_ss25	A_ss26	B_ss26	C_ss26	D_ss26
6752	3	-4.98867533524536	-3.072414851687923	2.948151514581844	1.4705756269602124	-1.4872361963718186	0.06751481725356918	-3.621842306999133	5.112374814366303	1.4538059094117288	-5.2526280437411375	4.8322827377818225	-3.2115819164107746																																																																																												
704	2	-6.063423870509545	-5.220968728282495	1.3288898876736457	3.592365579714622	-6.223130414337877	0.9354723645312656	-3.269379268444143	3.129319198872707																																																																																																
1178	1	3.8757560458868814	-7.490357433475706	2.8564310075372914	-5.905915917044879																																																																																																				
9893	3	0.9491046779314799	0.548357992576922	-3.080718684873084	-5.533202083864945	3.93292754896667	-5.565161703367508	-0.1336109550492178	-4.859244361062455	-3.6764722912518177	0.4068800416158124	3.7995768214941776	-7.308100759195516																																																																																												
8878	2	-5.906416392795241	2.997393014591389	-2.7299650251640823	1.5232872779425892	-6.1091554291369174	2.7703432973465083	2.0187043405030756	-5.066586247404096																																																																																																
2287	5	2.748323007465135	-3.8178744461510967	-10.389800387916505	0.35201065269399834	-3.3757081587189384	-6.85400013442998	0.5092520541479257	4.103457079781169	-3.2721939159156492	-7.346585301128759	0.49595589436735904	4.200493944564096	-2.0117949481498885	-6.454630353942311	0.0075510422569279746	5.5667993399972096	-3.3378775866349253	-5.033553938234113	0.0821150018050334	4.634650236149653																																																																																				
601	1	-3.377004245154719	-0.479692415247938	-2.639578596647184	3.994391332426226																																																																																																				
7148	2	1.3497704416211516	-5.255942318667892	4.638869924862844	-5.809145576016728	4.303949204970962	0.7116451637162462	-1.544253902966256	-6.832086412455153																																																																																																
319	3	-5.253371894779829	0.40116297297720327	-2.110640464070262	5.153737146621515	-0.007370304986148053	-5.139779129027937	-4.4107178541005885	7.59762814608704	-6.337814866082729	-5.517388953454614	1.3662620719635277	2.2919978505978316																																																																																												
6473	2	4.71311316518045	-4.4534968380380775	-5.000009186369221	0.29316771377965106	2.2436374588859107	0.7099200800345145	-6.205323336725878	-4.51423340445707																																																																																																
7268	26	-2.7180518243385485	-4.738942237158112	6.521379868176344	-0.6686909027995034	-2.8221437087975176	-2.559796086740544	6.6289287543157	-1.440940974267383	-2.3777218348581393	-4.453181365822848	6.590978507888825	-0.8895637907442301	-2.7665086931562404	-4.770906423866411	6.494954545767373	-0.6117249455484697	-3.7553802453439658	-1.8778424895122012	6.166177509691861	-1.53769505822429	-4.953876939235454	-2.330291625100277	5.42140844276603	-0.7849895905754053	-3.693896960774225	-1.9137992638007444	6.227520124139702	-1.5493148213404613	-2.6562606712550902	-4.689101724731891	6.544671065465495	-0.7277184573762616	-2.8088020051686096	-4.788349700518742	6.464144353597112	-0.5545342975688157	-4.285198928083289	-1.876966107260817	5.59710104085546	-1.1870016672559454	-2.52448719768158	-4.5758032846382966	6.57344403542966	-0.8184919841445835	-5.869967551331109	-3.048566405186603	6.070177936372421	-0.41983390071278626	-5.896345331840663	-3.571431514671798	6.279722113156895	-0.21633300873971956	-4.141684130468027	-1.8174936110600541	5.742968320057493	-1.302212209195119	-5.456427158546487	-2.712195952343298	5.801995027729355	-0.5727791625614223	-5.763362044806687	-2.956717468421074	6.008675345882102	-0.45937408224316706	3.568470242269752	-5.330783376282489	-5.154791372416039	3.1125155855509754	-2.8316100436058673	-4.792161737311703	6.4445267311287715	-0.5218808354826763	-5.681517420252611	-2.889681125720051	5.958346278412165	-0.4891981911473769	-4.605612408023723	-2.0783181130185087	5.380983227391652	-0.9689598040663616	-2.9806404795205186	-4.7329771348665854	6.30190140659225	-0.3301472634002467	-2.044072089766842	-4.182247671669768	6.612340591735371	-1.006426166538351	-5.27454408274685	0.08697940088188748	1.1284764861233916	-4.85708016199822	-3.821898217491089	-1.844676782102351	6.096595388140511	-1.5163905389917514	-3.5678202334297655	-1.997819835072368	6.341909761384253	-1.5543535632675167	-4.382052153036394	-1.931500632067591	5.512560365465434	-1.1147766591755175
2776	2	3.8628796119440048	-4.599278095558765	3.126409238078691	-2.540599229072036	2.239431659414467	-4.255026553764488	-2.8269452533225663	3.2874345049043407																																																																																																
9046	6	-4.997826550620712	1.5163522600349413	-5.357649873232128	1.5952503369358706	-0.2735897058689361	2.9003475693399103	-9.042989702288459	-1.3745575912646844	-6.705169445006344	1.4196115403404665	0.9180005289075335	-4.258517770207688	1.2872967675631175	-4.645739889205468	-6.234584890931537	1.3427969230003698	-4.484773738989296	-4.505939050424978	0.38695653923012535	0.7523070026995201	2.633657542292356	-4.747082657041187	0.025437002781636093	-4.396675616093036																																																																																
9949	2	3.0648729822300522	-4.431505741543143	4.567419019761841	-6.892585243654529	-0.3489522148474623	1.8991517865796055	-1.6458742215415536	-6.848547651667986																																																																																																
859	1	7.449092855489175	-2.2406272376980105	-5.173736867265371	-0.6904899560044497																																																																																																				
8271	2	2.2687373737162475	1.8683654924240418	-8.378071878139231	-5.115452098862189	-2.9514078949151963	4.704242161822916	-7.643530947526675	0.19253679966966472																																																																																																
852	2	-5.1467892884090265	1.6653008315052578	0.7314450599970477	-3.2943979926039564	-5.121114438144775	2.6530711979758643	-5.828094597707762	1.8301246575292334																																																																																																
4247	1	-5.55657717597337	3.4024915783281267	3.713783988314996	-4.031786155454964																																																																																																				
5565	1	2.830364062782698	3.5627310640683625	-5.688255800665966	-8.013936462805066																																																																																																				
3552	3	4.202095042148886	5.0917884881042035	-7.892487853223592	-4.450384322157085	-2.1693794787255847	0.5794442893291606	-6.669594393401058	4.192090212004913	-1.8325606068465154	-5.614830545575672	4.2621840973133835	-0.24135623858753258																																																																																												
1676	4	3.566539462434872	1.4898264355455302	-6.38853814660557	-4.522206580203419	-2.1827669593556327	2.1755928767363297	-4.481872026569091	1.6607180561253594	-2.2413345510401115	7.37270346740538	-0.8091356797185242	-3.5013140033473857	1.601395024964355	-3.6479095043863157	-3.511990423652771	0.6708530976830277																																																																																								
3580	2	-0.1674033934774072	-5.39407652858843	6.588615373804594	-0.6310987615532473	-4.007813542037783	1.170360680837926	1.1314493470962474	-7.057851044557674																																																																																																
5399	1	2.780223358252818	-5.790064592824128	1.3891158486087798	-4.319312174650355																																																																																																				
9851	2	4.318403702465541	-6.081753533997923	1.8064930304021287	-4.688444598972211	-0.4875850513937537	-11.108830284956003	3.107170925763601	0.8971549600330889																																																																																																
6501	1	1.8426125713903718	-4.1212969445992105	-6.865683522224608	1.743505894001543																																																																																																				
4025	2	3.588350522414243	-9.538102514256495	0.6889285599750831	-6.07967233190187	1.5081919444296787	-5.364761346310404	-5.142585759993335	0.06464048677658057																																																																																																
9231	3	-3.900392498448532	1.6430152901278563	3.8373707143471356	-8.760241432715127	0.6536379063274517	5.619321081464201	-1.3527541049168308	-9.630131347582454	2.3116970099403042	-3.75462977710585	1.154535532498734	-9.78757056998479																																																																																												
3236	2	-2.4047505954478745	-5.220024303665193	1.4966665207781804	1.778855771656242	-5.461509014684013	0.24326842488730377	3.102742276604613	-4.3604589929765405																																																																																																
4878	2	1.2449092638758774	-5.200714126441001	-1.752072314582912	1.6250267856888747	-4.6720624424005335	-3.54582447543895	2.7205266861506807	2.0870513385985996																																																																																																
4305	1	5.621272502463986	-7.181565220503603	-7.232963911065177	2.486535450042493																																																																																																				
1733	2	3.2099259598142207	-5.2499469866376955	-7.791339493235461	0.19544600379071156	-3.9735057394628672	1.1604656276218928	-7.6654720802076906	1.5384024862756205																																																																																																
5524	1	4.449317483059761	4.449681300677023	-3.539930258464458	-4.360686724913512																																																																																																				
585	1	-5.057876132600424	-0.2638554049023625	2.607879243710597	-7.82763354937196																																																																																																				
4930	2	4.1831891087795405	-3.174907269057621	5.124300811549244	-4.234746874491251	-0.2552723249038345	-4.740180358727926	3.7194203575052125	1.669825527480439																																																																																																
271	1	2.3575791895757825	0.2789973384976849	-2.6569964508291193	-7.7012394362593835																																																																																																				
2264	3	-5.823160829714456	-3.507289460279088	4.239429578708748	0.8503024304595556	0.40387272581351974	-6.790105852872848	6.916041509322553	-1.396500416119049	-4.898770304001601	1.0561225287525482	2.725837769861726	-4.002620950834207																																																																																												
8308	1	1.5011010398304174	4.700657561089128	-5.431549684610649	-6.669028773600789																																																																																																				
7439	2	2.8245753390405373	-4.912155555220114	-0.3460227802945087	-0.06688390013443124	1.9879392496705939	-5.634132542514602	4.854735076559135	-5.925684245530529																																																																																																
5907	2	-6.06570640994672	4.630598511231568	2.822912270706562	-5.095407783724354	-7.5123630465067635	-0.9673594173628697	3.2399822822739535	0.7579515570306983																																																																																																
3413	2	-0.838123200363264	-7.190143242766932	1.9732157315190457	1.810306948566813	5.069169079352661	-1.8761805265540166	-9.736643931698326	4.433211292238878																																																																																																
2882	12	-3.0319787472599273	0.9456317210826161	1.3764576460803513	-3.5287959814542456	-2.818104497656342	0.8988840177198735	2.136736819513212	-2.8068943436641893	-4.803980839060035	-2.8395835480995397	4.865498037666502	0.8182429988514333	-2.4781404630691917	0.8670877904260532	2.510693815643345	-2.495307789372735	1.8683518710053222	-0.11057956941109887	-0.5004507589208202	-3.6443844488801784	0.22036850308496952	-0.912588873766535	4.171407797301105	-2.2617175055985417	-1.646186909564237	0.7276831925224928	3.5344768351599014	-1.7096519884571253	1.5291175225772524	-0.9214880948420391	0.9007085329778824	-2.9795115909452914	-2.2017813187658266	0.8330512549562619	2.832596468590215	-2.2396460761299815	0.7634446125447012	-1.6363533283779423	2.8465385367137666	-3.7732797038532966	-1.8683573172865577	0.7772314193441355	3.2461523757177995	-1.9233983734496733	0.9646264949965684	-1.5397909782722372	1.8575857704599923	-3.569194149675272																																																								
8233	1	-8.52333894766071	4.129502603733882	-10.194744340684231	0.4971509279603708																																																																																																				
666	5	2.8391690426849667	-5.297019396054062	-3.839736853824896	1.2296344971128075	2.2044505040687477	0.2825228777087203	-2.695405530052007	-8.915207104437657	3.7395221259240827	-6.319499599981931	2.047390461708193	-3.49178491432434	-1.933266997158419	-0.2709119344163117	2.767728167143176	-4.200175717076738	-1.4901641316351422	-5.847676492555682	1.638561847205883	1.3633392781939921																																																																																				
